@relation './sylva-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R210,213-214,202-203,216-217-weka.filters.unsupervised.attribute.Remove-V-R5,7'

@attribute feature-182 {'\'(-inf-108.9]\'','\'(108.9-207.8]\'','\'(207.8-306.7]\'','\'(306.7-405.6]\'','\'(405.6-504.5]\'','\'(504.5-603.4]\'','\'(603.4-702.3]\'','\'(702.3-801.2]\'','\'(801.2-900.1]\'','\'(900.1-inf)\''}
@attribute CLASS {0,1}

@data
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(306.7-405.6]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',1
'\'(207.8-306.7]\'',1
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',1
'\'(306.7-405.6]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(108.9-207.8]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(207.8-306.7]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(207.8-306.7]\'',0
'\'(702.3-801.2]\'',0
'\'(306.7-405.6]\'',1
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(207.8-306.7]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',1
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(207.8-306.7]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',1
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(207.8-306.7]\'',1
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(108.9-207.8]\'',1
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(306.7-405.6]\'',1
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(207.8-306.7]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(306.7-405.6]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(207.8-306.7]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(207.8-306.7]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(108.9-207.8]\'',1
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(108.9-207.8]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(207.8-306.7]\'',0
'\'(504.5-603.4]\'',0
'\'(-inf-108.9]\'',1
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(108.9-207.8]\'',1
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(306.7-405.6]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(306.7-405.6]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(207.8-306.7]\'',0
'\'(306.7-405.6]\'',1
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(801.2-900.1]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(108.9-207.8]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',1
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',1
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(108.9-207.8]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(-inf-108.9]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',1
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(108.9-207.8]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(207.8-306.7]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',1
'\'(207.8-306.7]\'',1
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',1
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(900.1-inf)\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(-inf-108.9]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(108.9-207.8]\'',0
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',1
'\'(405.6-504.5]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(-inf-108.9]\'',1
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(801.2-900.1]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(207.8-306.7]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(108.9-207.8]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',1
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',1
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',1
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(405.6-504.5]\'',0
'\'(306.7-405.6]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',1
'\'(108.9-207.8]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(207.8-306.7]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(306.7-405.6]\'',1
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(108.9-207.8]\'',1
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(603.4-702.3]\'',0
'\'(108.9-207.8]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(801.2-900.1]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(702.3-801.2]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(207.8-306.7]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(405.6-504.5]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(108.9-207.8]\'',1
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',1
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(108.9-207.8]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(702.3-801.2]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(306.7-405.6]\'',0
'\'(504.5-603.4]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(603.4-702.3]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(405.6-504.5]\'',0
'\'(504.5-603.4]\'',0
'\'(504.5-603.4]\'',0
'\'(405.6-504.5]\'',0
'\'(603.4-702.3]\'',0
'\'(702.3-801.2]\'',0
'\'(603.4-702.3]\'',0
